date,reservoir_id,level_m,median_m,hist_high_m,hist_high_year,hist_low_m,hist_low_year
1990-09-16,cabonga,359.03,359.79,360.93,1951,357.67,1929
1990-09-16,des_joachims,152.22,152.16,152.35,1980,151.15,1952
1990-09-16,dozois,344.71,343.61,345.97,1965,341.32,2005
1990-09-16,kiamika,268.92,267.6,269.92,1957,265.79,1956
1990-09-16,kipawa,269.47,269.41,269.91,1963,269.04,2010
1990-09-16,lady_evelyn,288.93,289.05,289.5,1951,287.82,1971
1990-09-16,mitchinamecus,380.37,378.82,383.01,1958,376.03,1982
1990-09-16,poisson_blanc,199.8,199.65,201.52,1973,195.61,1978
1990-09-16,quinze,263.01,262.9,263.45,1973,261.27,1962
1990-09-16,rapide_7,309.33,309.03,309.38,1997,308.31,2005
1990-09-16,timiskaming,179.09,178.93,179.38,1993,178.63,1987
1990-09-17,bark_lake,313.28,313.66,313.86,1984,310.26,1962
1990-09-17,baskatong,221.17,220.6,222.4,1988,217.16,1982
1990-09-17,cabonga,359.01,359.79,360.93,1951,357.67,1929
1990-09-17,des_joachims,152.27,152.17,152.34,1956,151.36,1952
1990-09-17,dozois,344.73,343.58,345.97,1965,341.28,2005
1990-09-17,kiamika,268.9,267.57,269.92,1957,265.85,1956
1990-09-17,kipawa,269.47,269.41,269.91,1963,269.04,2010
1990-09-17,lady_evelyn,288.91,289.05,289.5,1951,287.79,1971
1990-09-17,mitchinamecus,380.37,378.78,383.01,1958,376.06,1982
1990-09-17,poisson_blanc,199.75,199.62,201.49,1973,195.54,1978
1990-09-17,quinze,263.01,262.9,263.43,1973,261.29,1962
1990-09-17,rapide_7,309.4,309.03,309.4,1990,308.29,2005
1990-09-17,timiskaming,179.06,178.92,179.33,1993,178.63,1989
1990-09-18,bark_lake,313.27,313.66,313.85,1984,310.21,1953
1990-09-18,baskatong,221.16,220.59,222.4,1988,217.12,1982
1990-09-18,cabonga,358.99,359.79,360.93,1951,357.68,1929
1990-09-18,des_joachims,152.21,152.16,152.34,1956,151.39,1955
1990-09-18,dozois,344.75,343.55,345.96,1960,341.23,2005
1990-09-18,kiamika,268.87,267.54,269.91,1957,265.91,1956
1990-09-18,kipawa,269.48,269.41,269.91,1963,269.04,2010
1990-09-18,lady_evelyn,288.93,289.05,289.5,1951,287.79,1971
1990-09-18,mitchinamecus,380.36,378.72,383.01,1958,376.07,1982
1990-09-18,poisson_blanc,199.64,199.58,201.46,1973,195.48,1978
1990-09-18,quinze,263.02,262.9,263.43,1973,261.25,1962
1990-09-18,rapide_7,309.5,309.03,309.5,1990,308.24,2005
1990-09-18,timiskaming,179.0,178.91,179.32,1993,178.62,1989
1990-09-19,bark_lake,313.26,313.67,313.84,1984,309.94,1953
1990-09-19,baskatong,221.17,220.55,222.39,1988,217.1,1982
1990-09-19,cabonga,358.97,359.79,360.93,1951,357.67,1929
1990-09-19,des_joachims,152.23,152.16,152.34,1956,151.33,1955
1990-09-19,dozois,344.77,343.52,345.97,1960,341.22,2005
1990-09-19,kiamika,268.84,267.53,269.91,1957,265.97,1956
1990-09-19,kipawa,269.49,269.41,269.91,1963,269.03,2010
1990-09-19,lady_evelyn,288.93,289.04,289.5,1951,287.76,1971
1990-09-19,mitchinamecus,380.35,378.66,382.98,1958,376.12,1982
1990-09-19,poisson_blanc,199.52,199.56,201.43,1973,195.42,1978
1990-09-19,quinze,263.03,262.89,263.43,1956,261.24,1962
1990-09-19,rapide_7,309.45,309.03,309.45,1990,308.23,2005
1990-09-19,timiskaming,178.98,178.91,179.31,1992,178.6,1987
1990-09-20,bark_lake,313.25,313.69,313.83,1984,309.78,1953
1990-09-20,baskatong,221.17,220.53,222.38,1988,217.08,1982
1990-09-20,cabonga,358.97,359.79,360.93,1951,357.67,1929
1990-09-20,des_joachims,152.18,152.16,152.37,1956,151.33,1955
1990-09-20,dozois,344.77,343.48,345.97,1960,341.18,2005
1990-09-20,kiamika,268.82,267.52,269.91,1957,266.03,1956
1990-09-20,kipawa,269.49,269.4,269.92,1965,269.03,2010
1990-09-20,lady_evelyn,288.91,289.04,289.5,1951,287.76,1971
1990-09-20,mitchinamecus,380.33,378.62,382.95,1958,376.15,1982
1990-09-20,poisson_blanc,199.47,199.54,201.41,1973,195.35,1978
1990-09-20,quinze,263.03,262.88,263.46,1992,261.22,1962
1990-09-20,rapide_7,309.48,309.03,309.48,1990,308.22,2005
1990-09-20,timiskaming,178.99,178.91,179.37,1992,178.6,1989
1990-09-21,bark_lake,313.24,313.69,313.85,2018,309.62,1953
1990-09-21,baskatong,221.18,220.5,222.39,1988,217.05,1982
1990-09-21,cabonga,358.95,359.8,360.93,1951,357.67,1929
1990-09-21,des_joachims,152.18,152.18,152.37,1954,151.36,1955
1990-09-21,dozois,344.81,343.45,345.97,1965,341.16,2005
1990-09-21,kiamika,268.82,267.52,269.91,1957,266.06,1956
1990-09-21,kipawa,269.5,269.4,269.95,1965,269.03,2010
1990-09-21,lady_evelyn,288.95,289.05,289.53,1965,287.76,1971
1990-09-21,mitchinamecus,380.34,378.6,382.92,1958,376.19,1982
1990-09-21,poisson_blanc,199.41,199.51,201.39,1973,195.3,1978
1990-09-21,quinze,263.06,262.87,263.48,1992,261.23,1962
1990-09-21,rapide_7,309.57,309.02,309.57,1990,308.22,2005
1990-09-21,timiskaming,178.96,178.91,179.41,1992,178.6,1989
1990-09-22,bark_lake,313.24,313.68,313.84,2014,309.54,1953
1990-09-22,baskatong,221.2,220.48,222.43,1988,217.03,1982
1990-09-22,cabonga,358.96,359.8,360.94,1951,357.68,1929
1990-09-22,des_joachims,152.17,152.19,152.37,1954,151.36,1955
1990-09-22,dozois,344.83,343.42,346.0,1965,341.15,2005
1990-09-22,kiamika,268.81,267.53,269.91,1957,266.12,1956
1990-09-22,kipawa,269.52,269.4,269.96,1965,269.03,2010
1990-09-22,lady_evelyn,288.94,289.06,289.56,1965,287.7,1971
1990-09-22,mitchinamecus,380.34,378.6,382.92,1957,376.22,1982
1990-09-22,poisson_blanc,199.36,199.48,201.4,1992,195.6,1978
1990-09-22,quinze,263.08,262.87,263.46,1992,261.23,1962
1990-09-22,rapide_7,309.55,309.02,309.55,1990,308.24,2005
1990-09-22,timiskaming,178.95,178.91,179.43,1992,178.61,1989
1990-09-23,bark_lake,313.23,313.68,313.83,2014,309.46,1953
1990-09-23,baskatong,221.18,220.46,222.46,1988,216.99,1982
1990-09-23,cabonga,358.97,359.8,360.95,1951,357.67,1929
1990-09-23,des_joachims,152.18,152.18,152.4,1965,151.46,1955
1990-09-23,dozois,344.82,343.4,346.07,1965,341.11,2005
1990-09-23,kiamika,268.79,267.53,269.92,1957,266.18,1956
1990-09-23,kipawa,269.51,269.39,269.99,1965,269.05,2010
1990-09-23,lady_evelyn,288.95,289.06,289.59,1965,287.67,1971
1990-09-23,mitchinamecus,380.34,378.6,382.92,1957,376.24,1982
1990-09-23,poisson_blanc,199.32,199.47,201.39,1992,195.14,1978
1990-09-23,quinze,263.1,262.9,263.44,1992,261.23,1962
1990-09-23,rapide_7,309.56,309.01,309.56,1990,308.22,2005
1990-09-23,timiskaming,178.99,178.9,179.36,1992,178.6,1987
1990-09-24,bark_lake,313.22,313.68,313.83,2014,309.41,1953
1990-09-24,baskatong,221.17,220.44,222.51,1988,216.96,1982
1990-09-24,cabonga,358.96,359.8,360.95,1951,357.68,1929
1990-09-24,des_joachims,152.13,152.18,152.4,1965,151.49,1955
1990-09-24,dozois,344.87,343.36,346.11,1965,341.11,2005
1990-09-24,kiamika,268.78,267.54,269.93,1957,266.24,1956
1990-09-24,kipawa,269.64,269.4,269.99,1965,269.06,2010
1990-09-24,lady_evelyn,288.95,289.06,289.56,1965,287.67,1971
1990-09-24,mitchinamecus,380.36,378.58,382.92,1958,376.26,1982
1990-09-24,poisson_blanc,199.26,199.46,201.38,1992,195.09,1978
1990-09-24,quinze,263.13,262.93,263.42,1992,261.22,1962
1990-09-24,rapide_7,309.6,309.0,309.6,1990,308.21,2005
1990-09-24,timiskaming,178.96,178.9,179.29,1992,178.6,1989
1990-09-25,bark_lake,313.22,313.69,313.83,2018,309.38,1953
1990-09-25,baskatong,221.18,220.41,222.55,1988,216.92,1982
1990-09-25,cabonga,358.96,359.81,360.95,1951,357.68,1929
1990-09-25,des_joachims,152.17,152.18,152.4,1965,151.15,1955
1990-09-25,dozois,344.91,343.32,346.14,1965,341.08,2005
1990-09-25,kiamika,268.76,267.54,269.93,1957,266.27,1956
1990-09-25,kipawa,269.53,269.4,269.95,1965,269.06,2010
1990-09-25,lady_evelyn,288.95,289.06,289.53,1951,287.67,1971
1990-09-25,mitchinamecus,380.35,378.58,382.92,1957,376.17,1975
1990-09-25,poisson_blanc,199.2,199.46,201.4,1992,195.03,1978
