year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual_mean,daily_max,daily_min
2013,152.62,152.84,151.74,152.00,153.66,153.14,152.33,152.47,152.48,152.54,153.27,152.76,152.65,154.14,151.35
2014,152.71,152.80,151.51,151.63,153.56,152.67,152.53,152.49,152.75,153.13,153.13,152.86,152.65,154.33,150.81
2015,153.02,152.87,151.95,151.90,152.92,152.58,152.36,152.44,152.44,152.40,152.64,153.09,152.55,153.58,150.94
2016,153.11,152.88,152.65,152.59,152.80,152.60,152.43,152.40,152.41,152.44,152.35,152.36,152.58,153.33,152.15
2017,152.68,152.80,152.01,152.43,153.43,152.96,152.52,152.50,152.57,152.46,152.54,152.73,152.63,153.95,151.40
2018,152.82,152.68,151.40,150.88,152.92,152.61,152.34,152.39,152.65,153.28,152.98,152.74,152.47,153.81,150.44
2019,152.70,152.76,151.43,152.26,154.92,153.37,152.39,152.36,152.37,152.41,152.60,152.65,152.68,155.55,151.16
2020,152.73,152.77,151.54,152.29,152.81,152.66,152.49,152.41,152.52,152.91,153.07,152.75,152.58,153.58,151.14
2021,152.82,152.78,151.86,152.04,152.35,152.28,152.52,152.33,152.34,152.51,152.35,152.51,152.39,153.04,151.33
2022,152.72,152.60,151.78,152.40,153.25,153.05,152.45,152.35,152.47,152.57,152.63,152.65,152.58,153.69,151.33
2023,152.79,152.76,151.63,152.21,153.56,152.51,152.40,152.36,152.49,153.03,153.07,152.56,152.61,154.66,151.02
2024,152.81,152.85,151.97,153.24,152.70,152.47,152.52,152.36,152.51,152.56,153.15,152.66,152.65,154.04,151.41
2025,152.99,152.89,152.21,152.43,153.66,152.64,152.56,152.28,152.26,152.25,152.18,152.19,152.54,154.32,151.69
